Depto;Departamento;Fam;Familia;anioretail;mesretail;ventasnetas;costos;Utilidad;% Margen
1;Juguetes;911;Vehículos Mécanicos;2013;7;300173;-167510;132663;0.44
1;Juguetes;911;Vehículos Mécanicos;2013;10;539793;-304304;235489;0.44
1;Juguetes;912;Video Juegos;2013;2;338344;-291198;47146;0.14
1;Juguetes;912;Video Juegos;2013;9;454091;-389119;64972;0.14
1;Juguetes;912;Video Juegos;2013;12;3901778;-3365113;536665;0.14
1;Juguetes;913;Playa;2013;6;3958;-1752;2207;0.56
1;Juguetes;913;Playa;2013;9;3796;-1577;2219;0.58
1;Juguetes;913;Playa;2013;12;27514;-13551;13963;0.51
1;Juguetes;914;Montable;2013;1;99492;-54445;45047;0.45
1;Juguetes;914;Montable;2013;4;118996;-77129;41867;0.35
1;Juguetes;914;Montable;2013;7;219537;-133840;85696;0.39
1;Juguetes;914;Montable;2013;10;210763;-122643;88120;0.42
1;Juguetes;915;Videos;2013;5;1942;-1402;539;0.28
1;Juguetes;915;Videos;2013;8;2232;-1959;273;0.12
1;Juguetes;915;Videos;2013;11;2558;-2303;254;0.1
1;Juguetes;916;Juguetes de Exterior;2013;2;39244;-20334;18910;0.48
1;Juguetes;916;Juguetes de Exterior;2013;5;39920;-22361;17559;0.44
1;Juguetes;916;Juguetes de Exterior;2013;8;71115;-44508;26606;0.37
1;Juguetes;916;Juguetes de Exterior;2013;11;155380;-97533;57847;0.37
1;Juguetes;918;Pre-Escolar;2013;3;418474;-255062;163412;0.39
1;Juguetes;918;Pre-Escolar;2013;6;522967;-286366;236601;0.45
1;Juguetes;919;Bloques;2013;3;590400;-324999;265401;0.45
1;Juguetes;919;Bloques;2013;6;677289;-372985;304303;0.45
1;Juguetes;920;Arte;2013;7;234985;-125615;109369;0.47
1;Juguetes;920;Arte;2013;10;298391;-163176;135215;0.45
1;Juguetes;921;Libros;2013;6;13687;-11752;1935;0.14
1;Juguetes;921;Libros;2013;9;11832;-10473;1359;0.11
1;Juguetes;921;Libros;2013;12;18643;-16515;2129;0.11
1;Juguetes;923;Musical;2013;1;29946;-14319;15627;0.52
1;Juguetes;923;Musical;2013;8;53747;-37438;16309;0.3
1;Juguetes;923;Musical;2013;11;79648;-45179;34469;0.43
1;Juguetes;333;Peluches;2013;2;140453;-59763;80689;0.57
1;Juguetes;333;Peluches;2013;5;66826;-32560;34266;0.51
1;Juguetes;333;Peluches;2013;8;112426;-82459;29967;0.27
1;Juguetes;899;Escolar;2013;3;1571;-987;584;0.37
1;Juguetes;899;Escolar;2013;6;1416;-892;524;0.37
1;Juguetes;899;Escolar;2013;9;2555;-2196;359;0.14
1;Juguetes;899;Escolar;2013;12;3504;-3581;-77;-0.02
1;Juguetes;900;Barbie;2013;1;190084;-117647;72437;0.38
1;Juguetes;900;Barbie;2013;5;271315;-163868;107447;0.4
1;Juguetes;900;Barbie;2013;8;412860;-267846;145015;0.35
1;Juguetes;900;Barbie;2013;11;698481;-437130;261351;0.37
1;Juguetes;901;Belleza Niñas;2013;7;42659;-19218;23442;0.55
1;Juguetes;901;Belleza Niñas;2013;10;83960;-40695;43265;0.52
1;Juguetes;902;Hogar Niñas;2013;2;57720;-24134;33586;0.58
1;Juguetes;902;Hogar Niñas;2013;9;161914;-74986;86928;0.54
1;Juguetes;902;Hogar Niñas;2013;12;1280309;-639950;640359;0.5
1;Juguetes;903;Muñecas;2013;2;202234;-96282;105952;0.52
1;Juguetes;903;Muñecas;2013;6;350889;-180274;170616;0.49
1;Juguetes;903;Muñecas;2013;9;637492;-350607;286885;0.45
1;Juguetes;903;Muñecas;2013;12;4990341;-2821469;2168872;0.43
1;Juguetes;904;Lanzadores;2013;1;60469;-32062;28407;0.47
